70	20	60	0	1150	0.8	0.9
80	20	60	0	1150	0.8	0.9
90	20	60	0	1150	0.8	0.9
100	20	60	0	1150	0.8	0.9
60	30	60	0	1150	0.8	0.9
70	30	60	0	1150	0.8	0.9
80	30	60	0	1150	0.8	0.9
90	30	60	0	1150	0.8	0.9
100	30	60	0	1150	0.8	0.9
110	30	60	0	1150	0.8	0.9
50	40	60	0	1150	0.8	0.9
60	40	60	0	1150	0.8	0.9
70	40	60	0	1150	0.8	0.9
80	40	60	0	1150	0.8	0.9
90	40	60	0	1150	0.8	0.9
100	40	60	0	1150	0.8	0.9
110	40	60	0	1150	0.8	0.9
120	40	60	0	1150	0.8	0.9
40	50	60	0	1150	0.8	0.9
50	50	60	0	1150	0.8	0.9
60	50	60	0	1150	0.8	0.9
70	50	60	0	1150	0.8	0.9
80	50	60	0	1150	0.8	0.9
90	50	60	0	1150	0.8	0.9
100	50	60	0	1150	0.8	0.9
110	50	60	0	1150	0.8	0.9
120	50	60	0	1150	0.8	0.9
130	50	60	0	1150	0.8	0.9
30	60	60	0	1150	0.8	0.9
40	60	60	0	1150	0.8	0.9
50	60	60	0	1150	0.8	0.9
60	60	60	0	1150	0.8	0.9
70	60	60	0	1150	0.8	0.9
80	60	60	0	1150	0.8	0.9
90	60	60	0	1150	0.8	0.9
100	60	60	0	1150	0.8	0.9
110	60	60	0	1150	0.8	0.9
120	60	60	0	1150	0.8	0.9
130	60	60	0	1150	0.8	0.9
140	60	60	0	1150	0.8	0.9
20	70	60	0	1150	0.8	0.9
30	70	60	0	1150	0.8	0.9
40	70	60	0	1150	0.8	0.9
50	70	60	0	1150	0.8	0.9
60	70	60	0	1150	0.8	0.9
70	70	60	0	1150	0.8	0.9
80	70	60	0	1150	0.8	0.9
90	70	60	0	1150	0.8	0.9
100	70	60	0	1150	0.8	0.9
110	70	60	0	1150	0.8	0.9
120	70	60	0	1150	0.8	0.9
130	70	60	0	1150	0.8	0.9
140	70	60	0	1150	0.8	0.9
150	70	60	0	1150	0.8	0.9
20	80	60	0	1150	0.8	0.9
30	80	60	0	1150	0.8	0.9
40	80	60	0	1150	0.8	0.9
50	80	60	0	1150	0.8	0.9
60	80	60	0	1150	0.8	0.9
70	80	60	0	1150	0.8	0.9
80	80	60	0	1150	0.8	0.9
90	80	60	0	1150	0.8	0.9
100	80	60	0	1150	0.8	0.9
110	80	60	0	1150	0.8	0.9
120	80	60	0	1150	0.8	0.9
130	80	60	0	1150	0.8	0.9
140	80	60	0	1150	0.8	0.9
150	80	60	0	1150	0.8	0.9
20	90	60	0	1150	0.8	0.9
30	90	60	0	1150	0.8	0.9
40	90	60	0	1150	0.8	0.9
50	90	60	0	1150	0.8	0.9
60	90	60	0	1150	0.8	0.9
70	90	60	0	1150	0.8	0.9
80	90	60	0	1150	0.8	0.9
90	90	60	0	1150	0.8	0.9
100	90	60	0	1150	0.8	0.9
110	90	60	0	1150	0.8	0.9
120	90	60	0	1150	0.8	0.9
130	90	60	0	1150	0.8	0.9
140	90	60	0	1150	0.8	0.9
150	90	60	0	1150	0.8	0.9
30	100	60	0	1150	0.8	0.9
40	100	60	0	1150	0.8	0.9
50	100	60	0	1150	0.8	0.9
60	100	60	0	1150	0.8	0.9
70	100	60	0	1150	0.8	0.9
80	100	60	0	1150	0.8	0.9
90	100	60	0	1150	0.8	0.9
100	100	60	0	1150	0.8	0.9
110	100	60	0	1150	0.8	0.9
120	100	60	0	1150	0.8	0.9
130	100	60	0	1150	0.8	0.9
140	100	60	0	1150	0.8	0.9
150	100	60	0	1150	0.8	0.9
40	110	60	0	1150	0.8	0.9
50	110	60	0	1150	0.8	0.9
60	110	60	0	1150	0.8	0.9
